name,team,battingStyle,bowlingStyle,playingRole,description,InningsBatted,Runs,BallsFaced,Fours,Sixes,Dismissals,BattingPosAvg,InningsBowled,OversBowled,ballsBowled,RunsConceded,Wickets,DotBalls,BattingAverage,StrikeRate,BoundaryPercent,AvgBallsFaced,BowlingAverage,Economy,BowlingStrikeRate,DotBallPercent
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31.",1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,12.0,72.0,83.0,6.0,34.0,0.0,0.0,0.0,1.0,13.833333333333334,6.916666666666667,12.0,47.22222222222222
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot.",7.0,153.0,123.0,10.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.857142857142858,124.39024390243902,61.43790849673203,17.571428571428573,0.0,0.0,0.0,0.0
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,"Anrich Nortje is a genuine quick who has been described as ""extremely exciting"" by none other than Dale Steyn. Like Steyn, Nortje is not a product of a big city but comes from the town of Uitenhage, north of Port Elizabeth, which is home to the largest Volkswagen factory in the African continent. It's hardly surprising then, that Nortje is well-acquainted with speed. He regularly sends the speed gun over 150kph and has a fearsome bouncer. ",2.0,5.0,6.0,1.0,0.0,1.0,9.5,5.0,17.3,105.0,94.0,11.0,58.0,5.0,83.33333333333334,80.0,3.0,8.545454545454545,5.433526011560693,9.545454545454545,55.23809523809524
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,,1.0,2.0,1.0,0.0,0.0,0.0,11.0,6.0,20.0,120.0,156.0,10.0,55.0,0.0,200.0,0.0,1.0,15.6,7.8,12.0,45.83333333333333
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler,,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,18.0,24.0,1.0,5.0,1.0,33.33333333333333,0.0,3.0,24.0,8.0,18.0,27.77777777777778
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,25.0,1.0,8.0,0.0,0.0,0.0,0.0,25.0,6.25,24.0,33.33333333333333
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. ",1.0,2.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.66666666666666,0.0,3.0,0.0,0.0,0.0,0.0
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.",3.0,9.0,9.0,1.0,0.0,2.0,6.333333333333333,5.0,13.2,80.0,115.0,3.0,29.0,4.5,100.0,44.44444444444444,3.0,38.333333333333336,8.712121212121213,26.666666666666668,36.25
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,,2.0,11.0,10.0,1.0,0.0,1.0,7.5,2.0,3.1,19.0,28.0,0.0,4.0,11.0,110.00000000000001,36.36363636363637,5.0,0.0,9.032258064516128,0.0,21.052631578947366
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time.",7.0,124.0,133.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.714285714285715,93.23308270676691,41.935483870967744,19.0,0.0,0.0,0.0,0.0
Barry Mccarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. ",5.0,36.0,33.0,1.0,2.0,2.0,9.8,7.0,25.0,150.0,227.0,5.0,46.0,18.0,109.09090909090908,44.44444444444444,6.6,45.4,9.08,30.0,30.666666666666664
Bas De Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,,8.0,93.0,117.0,7.0,1.0,5.0,3.5,7.0,22.0,132.0,169.0,13.0,50.0,18.6,79.48717948717949,36.55913978494624,14.625,13.0,7.681818181818182,10.153846153846153,37.878787878787875
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter,,3.0,31.0,24.0,3.0,2.0,2.0,5.666666666666667,3.0,5.0,30.0,37.0,3.0,15.0,15.5,129.16666666666669,77.41935483870968,8.0,12.333333333333334,7.4,10.0,50.0
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,30.0,48.0,3.0,8.0,0.0,0.0,0.0,0.0,16.0,9.6,10.0,26.666666666666668
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins.",5.0,110.0,104.0,7.0,1.0,3.0,4.2,6.0,16.2,98.0,111.0,6.0,42.0,36.666666666666664,105.76923076923077,30.909090909090907,20.8,18.5,6.851851851851852,16.333333333333332,42.857142857142854
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008",1.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,12.0,72.0,61.0,4.0,31.0,0.0,100.0,0.0,1.0,15.25,5.083333333333333,18.0,43.05555555555556
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010",7.0,125.0,105.0,14.0,2.0,7.0,4.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,119.04761904761905,54.400000000000006,15.0,0.0,0.0,0.0,0.0
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Â ",1.0,4.0,6.0,0.0,0.0,0.0,9.0,6.0,18.4,112.0,115.0,4.0,69.0,0.0,66.66666666666666,0.0,6.0,28.75,6.250000000000001,28.0,61.60714285714286
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,"Known for his ability to generate awkward bounce from a height of 6'7"", and swing the ball, Binura Fernando has been among the leading schoolboy-cricket names over the past two years, claiming 84 wickets in the 2013 season. A left-arm seamer, Fernando was called up to Sri Lanka's Test squad during the 2014 home series against Pakistan despite not having played first-class cricket. He was chosen largely on the strength of his performances for DS Senanayake College and the Sri Lanka Under-19 team.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,53.0,65.0,2.0,23.0,0.0,0.0,0.0,0.0,32.5,7.647058823529412,26.5,43.39622641509434
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,,4.0,2.0,12.0,0.0,0.0,1.0,10.75,7.0,26.0,156.0,199.0,12.0,71.0,2.0,16.666666666666664,0.0,3.0,16.583333333333332,7.653846153846154,13.0,45.51282051282051
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,,2.0,21.0,17.0,0.0,1.0,2.0,8.5,2.0,7.0,42.0,57.0,2.0,14.0,10.5,123.52941176470588,28.57142857142857,8.5,28.5,8.142857142857142,21.0,33.33333333333333
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,72.0,83.0,4.0,33.0,0.0,0.0,0.0,0.0,20.75,6.916666666666667,18.0,45.83333333333333
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,53.0,60.0,7.0,29.0,0.0,0.0,0.0,0.0,8.571428571428571,7.0588235294117645,7.571428571428571,54.71698113207547
Brandon King,West Indies,Right hand Bat,,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side.",2.0,79.0,63.0,9.0,1.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,79.0,125.39682539682539,53.16455696202531,31.5,0.0,0.0,0.0,0.0
Calum Macleod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey. Those knocks made him a slam-dunk choice at the end of 2018 to claim the ICC Associate Player of the Year Award, making him the second Scotland player to do so following Preston Mommsen in 2014. ",3.0,48.0,43.0,5.0,0.0,3.0,5.333333333333333,1.0,1.0,6.0,11.0,0.0,0.0,16.0,111.62790697674419,41.66666666666667,14.333333333333334,0.0,11.0,0.0,0.0
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. ",1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,12.0,13.0,0.0,7.0,3.0,150.0,0.0,2.0,0.0,6.5,0.0,58.333333333333336
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder,,6.0,32.0,38.0,3.0,0.0,4.0,7.666666666666667,6.0,18.0,108.0,144.0,3.0,36.0,8.0,84.21052631578947,37.5,6.333333333333333,48.0,8.0,36.0,33.33333333333333
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,,7.0,131.0,113.0,9.0,2.0,5.0,4.0,1.0,1.0,6.0,8.0,0.0,1.0,26.2,115.929203539823,36.6412213740458,16.142857142857142,0.0,8.0,0.0,16.666666666666664
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,"Two days after his 22nd birthday, opening batter Chirag Suri was bought in the 2017 IPL auction by Gujarat Lions. It was quite the birthday present, considering he had not even been capped in internationals for UAE. Suri never suited up for Lions, but he has demonstrated his talents in the time since his UAE international debut, also in 2017, rocketing up the career batting charts to figure among the top five run-makers in both ODIs and T20Is for his country. ",2.0,26.0,39.0,4.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,66.66666666666666,61.53846153846154,19.5,0.0,0.0,0.0,0.0
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,,2.0,19.0,18.0,2.0,0.0,0.0,7.0,1.0,2.0,12.0,18.0,0.0,1.0,0.0,105.55555555555556,42.10526315789473,9.0,0.0,9.0,0.0,8.333333333333332
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,48.0,70.0,5.0,17.0,0.0,0.0,0.0,0.0,14.0,8.75,9.6,35.41666666666667
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men.",1.0,5.0,3.0,1.0,0.0,0.0,8.0,6.0,20.0,120.0,172.0,5.0,45.0,0.0,166.66666666666669,80.0,3.0,34.4,8.6,24.0,37.5
Chundangapoyil Rizwan,U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter,,3.0,45.0,34.0,3.0,1.0,2.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,22.5,132.35294117647058,40.0,11.333333333333334,0.0,0.0,0.0,0.0
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Having relinquished his South African qualification to sign a contract with Leicestershire, taking advantage of an EU passport, Colin Ackermann was part of the late-2010s exodus that rocked cricket in his home country. Although less heralded at the time, Ackermann was a former South Africa U-19 who had topped the Sunfoil averages in 2016-17, and might have been in contention for a Test call-up had he not taken the well-trodden English county route.",8.0,165.0,149.0,13.0,4.0,7.0,4.25,3.0,7.0,42.0,37.0,1.0,16.0,23.571428571428573,110.73825503355705,46.06060606060606,18.625,37.0,5.285714285714286,42.0,38.095238095238095
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion.",7.0,112.0,125.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,89.60000000000001,46.42857142857143,17.857142857142858,0.0,0.0,0.0,0.0
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July.",6.0,126.0,77.0,12.0,2.0,5.0,5.333333333333333,4.0,8.0,48.0,74.0,2.0,17.0,25.2,163.63636363636365,47.61904761904761,12.833333333333334,37.0,9.25,24.0,35.41666666666667
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder,"A poised, attacking left-handed opener groomed in part at Sinhalese Sports Club, Danushka Gunathilaka was plucked from the domestic system largely on potential, and drafted into Sri Lanka's A team for the tour of New Zealand in mid-2015. He impressed on that trip, hitting two smart fifties from four innings, to finish as the team's second-highest run-scorer.",1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,,1.0,15.0,13.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,115.38461538461537,26.666666666666668,13.0,0.0,0.0,0.0,0.0
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year.",4.0,109.0,85.0,5.0,1.0,2.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,54.5,128.23529411764707,23.853211009174313,21.25,0.0,0.0,0.0,0.0
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier.",7.0,78.0,74.0,6.0,3.0,6.0,6.142857142857143,3.0,3.1,19.0,24.0,1.0,8.0,13.0,105.40540540540539,53.84615384615385,10.571428571428571,24.0,7.741935483870967,19.0,42.10526315789473
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. ",3.0,78.0,67.0,5.0,3.0,1.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,78.0,116.4179104477612,48.717948717948715,22.333333333333332,0.0,0.0,0.0,0.0
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.,4.0,44.0,41.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,107.31707317073172,54.54545454545454,10.25,0.0,0.0,0.0,0.0
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. ",3.0,66.0,42.0,4.0,3.0,2.0,7.0,3.0,10.3,63.0,65.0,3.0,29.0,33.0,157.14285714285714,51.515151515151516,14.0,21.666666666666668,6.310679611650485,21.0,46.03174603174603
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back.",3.0,56.0,68.0,2.0,0.0,2.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,28.0,82.35294117647058,14.285714285714285,22.666666666666668,0.0,0.0,0.0,0.0
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. ",1.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,,5.0,145.0,124.0,12.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,116.93548387096774,41.37931034482759,24.8,0.0,0.0,0.0,0.0
